timestamp,type_id,e_arfcn,serv_pci,serv_cell_index,rsrp,rsrq,num_neighbor_cells,num_detected_cells,neighbor_pci_0,neighbor_rsrp_0,neighbor_rsrq_0
2024-08-09 11:30:19.779079,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.9375,-13.375,1,0,218,-96.5625,-14.0625
2024-08-09 11:30:19.899087,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-85.8125,-13.625,1,0,111,-85.75,-14.5
2024-08-09 11:30:19.979077,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.0625,-13.3125,1,0,218,-96.5625,-13.75
2024-08-09 11:30:20.179075,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.375,-12.5625,1,0,218,-95.375,-13.0625
2024-08-09 11:30:20.219079,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.5,-12.375,1,0,218,-95.25,-12.8125
2024-08-09 11:30:20.259116,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.4375,-12.3125,1,0,218,-95.3125,-12.875
2024-08-09 11:30:20.299102,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.4375,-12.3125,1,0,218,-95.375,-12.8125
2024-08-09 11:30:20.299102,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-86.8125,-13.5,1,0,111,-86.75,-14.8125
2024-08-09 11:30:20.379083,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.5,-12.4375,1,0,218,-95.6875,-12.875
2024-08-09 11:30:20.499087,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-88.0,-14.875,1,0,111,-86.25,-15.0
2024-08-09 11:30:20.579086,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.25,-12.75,1,0,218,-95.625,-12.5625
2024-08-09 11:30:20.699027,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-88.25,-15.375,1,0,111,-86.125,-14.9375
2024-08-09 11:30:20.779102,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.75,-13.0625,1,0,218,-96.1875,-13.0
2024-08-09 11:30:20.819107,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.8125,-13.1875,1,0,218,-96.25,-13.125
2024-08-09 11:30:20.899098,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.3125,-13.4375,1,0,218,-96.625,-13.3125
2024-08-09 11:30:20.899098,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-87.6875,-15.5625,1,0,111,-86.1875,-15.1875
2024-08-09 11:30:21.099108,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-100.875,-13.6875,1,0,218,-97.5625,-12.8125
2024-08-09 11:30:21.099108,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-86.875,-15.6875,1,0,111,-86.3125,-15.25
2024-08-09 11:30:21.299116,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-100.75,-13.875,1,0,218,-97.6875,-12.25
2024-08-09 11:30:21.299116,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-86.25,-15.8125,1,0,111,-86.875,-15.4375
2024-08-09 11:30:21.499108,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-100.0625,-13.9375,1,0,218,-97.1875,-12.6875
2024-08-09 11:30:21.499108,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-86.6875,-15.9375,1,0,111,-87.1875,-15.25
2024-08-09 11:30:21.699102,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.875,-13.9375,1,0,218,-97.0625,-12.1875
2024-08-09 11:30:21.699102,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-87.3125,-16.3125,1,0,111,-87.5,-15.625
2024-08-09 11:30:21.899106,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.75,-13.9375,1,0,218,-95.75,-12.0625
2024-08-09 11:30:21.899106,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-87.8125,-16.3125,1,0,111,-87.1875,-15.375
2024-08-09 11:30:22.099118,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.625,-13.875,1,0,218,-96.75,-12.4375
2024-08-09 11:30:22.099118,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-87.125,-16.375,1,0,111,-87.0,-15.25
2024-08-09 11:30:22.299109,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-98.1875,-13.75,1,0,218,-98.8125,-12.375
2024-08-09 11:30:22.299109,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-86.3125,-16.3125,1,0,111,-85.8125,-15.0
2024-08-09 11:30:22.499079,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.0,-13.75,1,0,218,-97.625,-11.75
2024-08-09 11:30:22.499079,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-85.8125,-16.0625,1,0,111,-86.1875,-15.5
2024-08-09 11:30:22.699077,LTE_PHY_Connected_Mode_Intra_Freq_Meas,100,351,PCell,-99.8125,-13.875,1,0,218,-96.6875,-11.3125
2024-08-09 11:30:22.699077,LTE_PHY_Connected_Mode_Intra_Freq_Meas,9360,449,2_SCell,-85.375,-16.0625,1,0,111,-86.75,-15.875
